Scheme,Configuration,Median_rank,Mean_rank,Top1_frequency,Protocol
Concentrated,Ankle acceleration,1.0,1.4593333333333334,0.5706666666666667,All features - raw
Concentrated,Ankle acceleration and gyroscope,4.0,3.674,0.0,All features - raw
Concentrated,Chest acceleration,1.0,1.4046666666666667,0.666,All features - raw
Concentrated,Chest and ankle acceleration,3.0,3.006,0.14,All features - raw
Concentrated,Full common configuration,5.0,4.792666666666666,0.0,All features - raw
Uniform,Ankle acceleration,2.0,1.682,0.37,All features - raw
Uniform,Ankle acceleration and gyroscope,3.0,3.231333333333333,0.0,All features - raw
Uniform,Chest acceleration,1.0,1.3646666666666667,0.666,All features - raw
Uniform,Chest and ankle acceleration,4.0,3.626,0.05333333333333334,All features - raw
Uniform,Full common configuration,5.0,4.855333333333333,0.0006666666666666666,All features - raw
Concentrated,Ankle acceleration,1.0,1.0,1.0,Magnitude only - raw
Concentrated,Ankle acceleration and gyroscope,3.0,3.1433333333333335,0.0,Magnitude only - raw
Concentrated,Chest acceleration,2.0,2.0,0.0,Magnitude only - raw
Concentrated,Chest and ankle acceleration,4.0,3.8533333333333335,0.0,Magnitude only - raw
Concentrated,Full common configuration,5.0,4.988666666666667,0.0,Magnitude only - raw
Uniform,Ankle acceleration,1.0,1.2013333333333334,0.7986666666666666,Magnitude only - raw
Uniform,Ankle acceleration and gyroscope,3.0,3.104,0.0,Magnitude only - raw
Uniform,Chest acceleration,2.0,1.8066666666666666,0.204,Magnitude only - raw
Uniform,Chest and ankle acceleration,4.0,3.84,0.0,Magnitude only - raw
Uniform,Full common configuration,5.0,4.914666666666666,0.0,Magnitude only - raw
Concentrated,Ankle acceleration,1.0,1.0,1.0,Magnitude - domain z-score
Concentrated,Ankle acceleration and gyroscope,3.0,3.0353333333333334,0.0,Magnitude - domain z-score
Concentrated,Chest acceleration,2.0,2.082666666666667,0.0,Magnitude - domain z-score
Concentrated,Chest and ankle acceleration,4.0,3.529333333333333,0.0,Magnitude - domain z-score
Concentrated,Full common configuration,5.0,4.998,0.0,Magnitude - domain z-score
Uniform,Ankle acceleration,1.0,1.1473333333333333,0.8526666666666667,Magnitude - domain z-score
Uniform,Ankle acceleration and gyroscope,3.0,3.084,0.0,Magnitude - domain z-score
Uniform,Chest acceleration,2.0,1.9253333333333333,0.14133333333333334,Magnitude - domain z-score
Uniform,Chest and ankle acceleration,4.0,3.746,0.010666666666666666,Magnitude - domain z-score
Uniform,Full common configuration,5.0,4.924,0.0,Magnitude - domain z-score
Concentrated,Ankle acceleration,1.0,1.006,0.994,Magnitude - CORAL
Concentrated,Ankle acceleration and gyroscope,2.0,2.24,0.014,Magnitude - CORAL
Concentrated,Chest acceleration,2.0,2.2946666666666666,0.0,Magnitude - CORAL
Concentrated,Chest and ankle acceleration,5.0,4.686,0.0,Magnitude - CORAL
Concentrated,Full common configuration,4.0,3.8546666666666667,0.0,Magnitude - CORAL
Uniform,Ankle acceleration,1.0,1.2066666666666668,0.8013333333333333,Magnitude - CORAL
Uniform,Ankle acceleration and gyroscope,3.0,2.6366666666666667,0.05333333333333334,Magnitude - CORAL
Uniform,Chest acceleration,2.0,2.050666666666667,0.16133333333333333,Magnitude - CORAL
Uniform,Chest and ankle acceleration,4.0,4.240666666666667,0.0,Magnitude - CORAL
Uniform,Full common configuration,5.0,4.542666666666666,0.009333333333333334,Magnitude - CORAL
